Day,Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Impressions,Clicks,CV,Media Cost Margin,Google_AdRank,Yahoo!_AdRank
2018/2/5,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,107,0,,\0,,
2018/2/5,03_口座開設一般,SP,RT,YDN,S2.コンテンツ離脱,1日,"3,453",3,,\414,,
2018/2/5,03_口座開設一般,PC,Listing,Yahoo!,-,-,"6,114",44,,"\15,594",,2.66
2018/2/5,03_口座開設一般,SP,RT,YDN,S2.コンテンツ離脱,2日～3日,1,0,,\0,,
2018/2/5,03_口座開設一般,SP,Listing,Yahoo!,-,-,"5,723",21,,"\5,748",,2.23
2018/2/5,03_口座開設一般,SP,Listing,Yahoo!,,,133,0,,\0,,1.83
2018/2/5,04_海外での利用,SP,RT,GDN,S4.申込フォーム離脱_STEP2,-,"5,800",4,,\659,,
2018/2/5,06_外貨預金,SP,RT,YDN,S2.コンテンツ離脱,16日～30日,396,2,,\148,,
2018/2/5,06_外貨預金,PC,RT,YDN,S2.コンテンツ離脱,16日～30日,"1,315",0,,\0,,
2018/2/5,04_海外での利用,PC,RT,GDN,S4.申込フォーム離脱_STEP2,-,"7,509",7,,"\2,030",,
2018/2/5,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,20,0,,\0,,
2018/2/5,03_口座開設一般,PC,RT,Y!JAX,S1.TOPページ離脱,1日～7日,511,0,,\478,,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S3.口座開設詳細離脱,1日～7日,"2,021",10,,"\2,003",,
2018/2/5,04_海外での利用,PC,RT,YDN,S2.コンテンツ離脱,16日～30日,"10,206",1,,\102,,
2018/2/5,01_指名,PC,Listing,Google,,,68,3,,\226,1.13,
2018/2/5,01_指名,PC,Listing,Google,-,-,"1,824",108,1,"\17,662",1.03,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S3.口座開設詳細離脱,16日～30日,811,0,,\785,,
2018/2/5,01_指名,SP,Listing,Google,,,85,6,,\964,1.37,
2018/2/5,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,16日～30日,"2,650",1,,\112,,
2018/2/5,01_指名,SP,Listing,Google,-,-,"1,304",151,3,"\11,502",1.03,
2018/2/5,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,8日～15日,"1,917",1,,\157,,
2018/2/5,04_海外での利用,PC,RT,YDN,S2.コンテンツ離脱,8日～15日,"6,272",2,,\305,,
2018/2/5,04_海外での利用,PC,RT,GDN,S5.申込フォーム離脱_STEP3,-,122,0,,\0,,
2018/2/5,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,263,1,,\17,,
2018/2/5,04_海外での利用,SP,RT,GDN,S3.口座開設詳細離脱,-,"7,780",10,,"\1,034",,
2018/2/5,04_海外での利用,PC,RT,GDN,S3.口座開設詳細離脱,-,"7,246",8,,\869,,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S3.口座開設詳細離脱,8日～15日,"1,191",3,,"\1,231",,
2018/2/5,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,82,0,,\0,,
2018/2/5,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,961,0,,\0,,
2018/2/5,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,273,0,,\0,,
2018/2/5,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,58,0,,\0,,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S2.コンテンツ離脱,16日～30日,847,3,,\777,,
2018/2/5,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,429,1,,\6,,
2018/2/5,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,159,0,,\0,,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S2.コンテンツ離脱,1日～7日,"2,630",11,,"\2,577",,
2018/2/5,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,"1,592",0,,\0,,
2018/2/5,02_指名関連,PC,Listing,Google,-,-,987,43,,"\16,978",1.61,
2018/2/5,02_指名関連,PC,Listing,Google,,,"2,686",71,,"\15,871",1.79,
2018/2/5,02_指名関連,PC,Listing,Yahoo!,-,-,"2,986",82,,"\5,891",,2.4
2018/2/5,02_指名関連,PC,Listing,Yahoo!,,,229,1,,\41,,2.58
2018/2/5,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,548,1,,\17,,
2018/2/5,02_指名関連,SP,Listing,Google,,,"9,342",219,7,"\75,235",1.84,
2018/2/5,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,"1,278",0,,\0,,
2018/2/5,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,532,0,,\0,,
2018/2/5,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,90,0,,\0,,
2018/2/5,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,374,0,,\0,,
2018/2/5,04_海外での利用,SP,RT,GDN,S5.申込フォーム離脱_STEP3,-,32,0,,\0,,
2018/2/5,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,1日～3日,"6,730",4,,\590,,
2018/2/5,03_口座開設一般,PC,RT,YDN,S2.コンテンツ離脱,31日～90日,"1,960",0,,\0,,
2018/2/5,03_口座開設一般,SP,RT,YDN,S2.コンテンツ離脱,31日～90日,"4,493",3,,\295,,
2018/2/5,02_指名関連,SP,Listing,Google,-,-,"14,994",334,3,"\165,335",1.8,
2018/2/5,02_指名関連,SP,Listing,Yahoo!,,,110,0,,\0,,1.81
2018/2/5,02_指名関連,SP,Listing,Yahoo!,-,-,"1,257",10,,"\2,524",,1.88
2018/2/5,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,86,1,,\14,,
2018/2/5,04_海外での利用,PC,RT,YDN,S2.コンテンツ離脱,1日～3日,"2,549",1,,\242,,
2018/2/5,03_口座開設一般,PC,RT,Y!JAX,S1.TOPページ離脱,8日～15日,246,0,,\219,,
2018/2/5,03_口座開設一般,PC,RT,YDN,S2.コンテンツ離脱,16日～30日,789,0,,\0,,
2018/2/5,03_口座開設一般,PC,RT,Y!JAX,S3.口座開設詳細離脱,16日～30日,402,1,,\395,,
2018/2/5,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,35,0,,\0,,
2018/2/5,03_口座開設一般,SP,RT,YDN,S2.コンテンツ離脱,16日～30日,"2,046",5,,\845,,
2018/2/5,06_外貨預金,SP,RT,YDN,S2.コンテンツ離脱,1日～3日,"1,047",0,,\0,,
2018/2/5,06_外貨預金,PC,RT,YDN,S2.コンテンツ離脱,1日～3日,396,0,,\0,,
2018/2/5,03_口座開設一般,SP,RT,YDN,S2.コンテンツ離脱,8日～15日,"1,522",1,,\119,,
2018/2/5,03_口座開設一般,PC,RT,YDN,S2.コンテンツ離脱,8日～15日,803,0,,\0,,
2018/2/5,06_外貨預金,PC,RT,YDN,S2.コンテンツ離脱,31日～90日,"2,875",0,,\0,,
2018/2/5,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,902,1,,\40,,
2018/2/5,06_外貨預金,SP,RT,YDN,S2.コンテンツ離脱,31日～90日,668,1,,\48,,
2018/2/5,06_外貨預金,SP,RT,YDN,S2.コンテンツ離脱,1日,932,1,,\138,,
2018/2/5,03_口座開設一般,SP,AT,GDN,-,-,"2,284",4,,\180,,
2018/2/5,04_海外での利用,PC,Listing,Google,-,-,437,7,,"\2,062",3.08,
2018/2/5,04_海外での利用,SP,Listing,Google,-,-,457,20,,"\4,124",2.62,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S4.申込フォーム離脱,16日～30日,264,2,,\273,,
2018/2/5,03_口座開設一般,PC,AT,GDN,-,-,"2,755",1,,\94,,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S4.申込フォーム離脱,8日～15日,229,1,,\231,,
