Day,Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Impressions,Clicks,CV,Media Cost Margin,Google_position,Yahoo!_Position
11-Dec-17,06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,104,0,,0,NaN,NaN
11-Dec-17,06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,4日～7日,67,0,,0,NaN,NaN
11-Dec-17,06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,31日～90日,402,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,627,0,,0,NaN,NaN
11-Dec-17,04_海外での利用,SP,AT,GDN,-,-,20119,15,,1066,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,36,0,,0,NaN,NaN
11-Dec-17,06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,31日～90日,369,0,,0,NaN,NaN
11-Dec-17,03_口座開設一般,PC,RT,Y!JAX,S1.TOPページ離脱,16日～30日,176,0,,49,NaN,NaN
10-Dec-17,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,722,1,,58,NaN,NaN
10-Dec-17,00_手数料無料,PC,RT,Y!JAX,S1.TOPページ離脱,1日～7日,254,2,,335,NaN,NaN
10-Dec-17,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,409,1,,80,NaN,NaN
10-Dec-17,03_口座開設一般,SP,AT,GDN,-,-,678,3,,160,NaN,NaN
10-Dec-17,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,210,0,,0,NaN,NaN
10-Dec-17,,PC,Listing,Yahoo!,,,,,,,NaN,NaN
10-Dec-17,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,53,0,,0,NaN,NaN
10-Dec-17,06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,16日～30日,460,0,,564,NaN,NaN
10-Dec-17,06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,1日～7日,295,2,,414,NaN,NaN
10-Dec-17,00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,1067,2,,125,NaN,NaN
10-Dec-17,00_手数料無料,PC,RT,Y!JAX,S1.TOPページ離脱,8日～15日,126,1,,172,NaN,NaN
10-Dec-17,00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,101,0,,0,NaN,NaN
10-Dec-17,03_口座開設一般,PC,AT,GDN,-,-,2050,4,,324,NaN,NaN
10-Dec-17,06_外貨預金,PC,AT,GDN,-,-,56,0,,0,NaN,NaN
