Day,Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Impressions,Clicks,CV,Media Cost Margin,Google_AdRank,Yahoo!_AdRank
2018/2/5,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,374 ,0 ,,0 ,,
2018/2/5,04_海外での利用,SP,RT,GDN,S5.申込フォーム離脱_STEP3,-,32 ,0 ,,0 ,,
2018/2/5,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,1日～3日,6730 ,4 ,,590 ,,
2018/2/5,03_口座開設一般,PC,RT,YDN,S2.コンテンツ離脱,31日～90日,1960 ,0 ,,0 ,,
2018/2/5,03_口座開設一般,SP,RT,YDN,S2.コンテンツ離脱,31日～90日,4493 ,3 ,,295 ,,
2018/2/5,02_指名関連,SP,Listing,Google,-,-,14994 ,334 ,3 ,165335 ,2 ,
2018/2/5,02_指名関連,SP,Listing,Yahoo!,,,110 ,0 ,,0 ,,2 
2018/2/5,02_指名関連,SP,Listing,Yahoo!,-,-,1257 ,10 ,,2524 ,,2 
2018/2/5,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,86 ,1 ,,14 ,,
2018/2/5,04_海外での利用,PC,RT,YDN,S2.コンテンツ離脱,1日～3日,2549 ,1 ,,242 ,,
2018/2/5,03_口座開設一般,PC,RT,Y!JAX,S1.TOPページ離脱,8日～15日,246 ,0 ,,219 ,,
2018/2/5,03_口座開設一般,PC,RT,YDN,S2.コンテンツ離脱,16日～30日,789 ,0 ,,0 ,,
2018/2/5,03_口座開設一般,PC,RT,Y!JAX,S3.口座開設詳細離脱,16日～30日,402 ,1 ,,395 ,,
2018/2/5,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,35 ,0 ,,0 ,,
2018/2/5,03_口座開設一般,SP,RT,YDN,S2.コンテンツ離脱,16日～30日,2046 ,5 ,,845 ,,
2018/2/5,06_外貨預金,SP,RT,YDN,S2.コンテンツ離脱,1日～3日,1047 ,0 ,,0 ,,
2018/2/5,06_外貨預金,PC,RT,YDN,S2.コンテンツ離脱,1日～3日,396 ,0 ,,0 ,,
2018/2/5,03_口座開設一般,SP,RT,YDN,S2.コンテンツ離脱,8日～15日,1522 ,1 ,,119 ,,
2018/2/5,03_口座開設一般,PC,RT,YDN,S2.コンテンツ離脱,8日～15日,803 ,0 ,,0 ,,
2018/2/5,06_外貨預金,PC,RT,YDN,S2.コンテンツ離脱,31日～90日,2875 ,0 ,,0 ,,
2018/2/5,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,902 ,1 ,,40 ,,
